V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1JCQkKSjX6pZYhG,Default Response Set,Anonymous,,,98.119.130.219,0,2015-03-02 13:08:09,2015-03-02 13:10:24,1,1,YDesai,Chrome,40.0.2214.115,Linux x86_64,1920x1080,16.0.0,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Postgraduate/Master of arts,C++,Employed,IN - India,"-8,(GMT-08:00) Pacific Time (US &amp; Canada)",8,20,24,24,20,34.144393920898,-118.89350128174,-1,
R_23w8CMeDnQKdRhn,Default Response Set,Anonymous,,,89.71.209.106,0,2015-03-02 13:08:07,2015-03-02 13:10:24,1,1,kubapb,Chrome,40.0.2214.115,Windows NT 6.3,1920x1080,16.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,Student on Internship,PL - Poland,"1,(GMT+01:00) Warsaw",8,8,10,16,12,54.360794067383,18.658294677734,-1,
R_1CE0G8YgUCbkxwu,Default Response Set,Anonymous,,,131.107.147.253,0,2015-03-02 13:05:47,2015-03-02 13:10:44,1,1,Nickolas,Mozilla,5.0,Windows NT 6.3,2560x1440,16.0.0,1,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; BRI/2; InfoPath.3; rv:11.0) like Gecko,Female,26-30 years,Postgraduate/Master of arts,C++,Full-time employed,UA - Ukraine,"-8,(GMT-08:00) Pacific Time (US &amp; Canada)",4,8,4,4,10,47.620101928711,-122.14080047607,-1,
R_1hKdqLPU4PsFMne,Default Response Set,Anonymous,,,95.105.187.159,0,2015-03-02 13:06:32,2015-03-02 13:12:22,1,1,nofto,Chrome,40.0.2214.115,Windows NT 6.1,1280x1024,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,31-40 years,Doctorate/PhD,C++,postdoc at the university,SK - Slovakia,"1,(GMT+01:00) Bratislava",1-unwilling,10,8,6,12,48.149993896484,17.11669921875,-1,
R_1Hi7Mm8I5zqpduD,Default Response Set,Anonymous,,,204.2.207.11,0,2015-03-02 13:12:40,2015-03-02 13:14:14,1,1,soybean,Chrome,40.0.2214.115,Windows NT 6.1,1680x1050,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,Senior year BS,CN - China,"-5,(GMT-05:00) Eastern Time (US &amp; Canada)",10-completely willing,6,6,6,6,42.382797241211,-71.095497131348,-1,
R_3GdLxrxlqhW2Jeh,Default Response Set,Anonymous,,,93.154.238.13,0,2015-03-02 13:12:53,2015-03-02 13:14:32,1,1,WojciechMigda,Firefox,35.0,Ubuntu,1280x1024,11.2.202,1,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:35.0) Gecko/20100101 Firefox/35.0,Male,31-40 years,Doctorate/PhD,C++,Senior software engineer,PL - Poland,"1,(GMT+01:00) Warsaw",4,4,4,4,8,52.233306884766,21.016693115234,-1,
R_234BOYbYVm77mKd,Default Response Set,Anonymous,,,80.12.35.231,0,2015-03-02 13:10:52,2015-03-02 13:16:04,1,1,kossi_tg,Chrome,40.0.2214.115,Windows NT 6.3,1600x900,16.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,26-30 years,Postgraduate/Master of arts,Java,EDF,TG - Togo,"1,(GMT+01:00) Paris",6,8,8,12,8,48.860000610352,2.3500061035156,-1,
R_27BbxlkYUF7idsn,Default Response Set,Anonymous,,,204.2.207.11,0,2015-03-02 13:21:39,2015-03-02 13:22:26,1,1,jun22,Chrome,40.0.2214.115,Windows NT 6.1,1680x1050,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,Java,Amadeus,CN - China,"-5,(GMT-05:00) Eastern Time (US &amp; Canada)",10-completely willing,10,10,10,10,42.382797241211,-71.095497131348,-1,
R_2VsYbJeOeLkjUgu,Default Response Set,Anonymous,,,2.11.191.230,0,2015-03-02 13:17:56,2015-03-02 13:22:47,1,1,eldidou,Firefox,36.0,Ubuntu,1680x1050,11.2.202,1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0,Male,31-40 years,Postgraduate/Master of arts,C++,employee at Thales,FR - France,"1,(GMT+01:00) Paris",4,8,8,8,16,47.75,-3.36669921875,-1,
R_1Kp3Da04RWYorXd,Default Response Set,Anonymous,,,117.212.69.213,0,2015-03-02 13:19:30,2015-03-02 13:22:51,1,1,brajeshlkw,Chrome,40.0.2214.115,Windows NT 6.1,1360x768,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,41-50 years,Postgraduate/Master of arts,VB,Government Service,IN - India,"5.5,(GMT+05:30) New Delhi",2,2,2,3,3,28.666702270508,77.433288574219,-1,
R_2SvpyZXFq6Bjfdu,Default Response Set,Anonymous,,,197.35.46.117,0,2015-03-02 13:20:03,2015-03-02 13:23:20,1,1,TahaMahmoud,Chrome,40.0.2214.115,Windows NT 6.1,1366x768,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,20-25 years old,Undergraduate/Bachelor's degree,C++,Recent Graduate/Jobless,EG - Egypt,"2,(GMT+02:00) Cairo",5,8,8,8,8,30.077102661133,31.285903930664,-1,
R_bEg2AbEKJs7OeCR,Default Response Set,Anonymous,,,84.6.178.208,0,2015-03-02 13:15:48,2015-03-02 13:26:16,1,1,klo86min,Chrome,40.0.2214.111,Linux x86_64,1920x1200,11.2.999,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/40.0.2214.111 Chrome/40.0.2214.111 Safari/537.36",Male,31-40 years,Postgraduate/Master of arts,C++,self employed,FR - France,"1,(GMT+01:00) Paris",1-unwilling,1,1,1,1,48.860000610352,2.3500061035156,-1,
R_cYo2lmLjY1ia9AV,Default Response Set,Anonymous,,,125.21.194.2,0,2015-03-02 13:22:55,2015-03-02 13:30:16,1,1,kumar.virakta,Chrome,40.0.2214.115,Windows NT 6.1,1366x768,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,31-40 years,Undergraduate/Bachelor's degree,Java,Adavanced Micro. Devices(AMD),IN - India,"5.5,(GMT+05:30) Chennai",9,10,10,36,36,17.375305175781,78.474395751953,-1,
R_wMIgfeIbkOKICVr,Default Response Set,Anonymous,,,5.49.41.46,0,2015-03-02 13:27:29,2015-03-02 13:30:26,1,1,yfalah,Chrome,40.0.2214.115,Windows NT 6.1,1080x1920,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,26-30 years,Postgraduate/Master of arts,C++,financial engineer,FR - France,"1,(GMT+01:00) Paris",8,6,6,6,6,48.869598388672,2.3083038330078,-1,
R_2ErSWkcbKGX6zH8,Default Response Set,Anonymous,,,46.147.145.101,0,2015-03-02 13:30:55,2015-03-02 13:32:09,1,1,Morojenoe,Safari iPad,9537.53,iPad,768x1024,-1,,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) YaBrowser/14.12.2125.9580.11 Mobile/11D257 Safari/9537.53",,,,,,,,1-unwilling,,,,,56.849792480469,53.204498291016,-1,
R_11gVLZmclDs5vHD,Default Response Set,Anonymous,,,200.169.44.60,0,2015-03-02 13:25:29,2015-03-02 13:34:04,1,1,wleite,Chrome,40.0.2214.115,Windows NT 6.1,1920x1200,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,41-50 years,Undergraduate/Bachelor's degree,Java,Working as Forensic Expert for Brazilian government,BR - Brazil,"-3,(GMT-03:00) Brasilia",6,6,6,6,12,-23.547698974609,-46.635803222656,-1,
R_3dKracRkngZ4M32,Default Response Set,Anonymous,,,91.76.117.46,0,2015-03-02 13:25:50,2015-03-02 13:35:50,1,1,orlovan,Chrome,40.0.2214.115,Macintosh,1920x1200,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,31-40 years,High School,Other,Software engineer at Program Systems Institute of Russian Academy of Sciences,RU - Russia,"3,(GMT+03:00) Moscow",7,10,10,10,12,55.752197265625,37.615600585938,-1,
R_3HYQRfRBHHbZacY,Default Response Set,Anonymous,,,125.21.194.2,0,2015-03-02 13:33:19,2015-03-02 13:35:57,1,1,kumar.virakta,Chrome,40.0.2214.115,Windows NT 6.1,1366x768,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,31-40 years,Undergraduate/Bachelor's degree,Java,Advanced Micro. Devices(AMD),IN - India,"5.5,(GMT+05:30) Chennai",9,10,10,36,36,17.375305175781,78.474395751953,-1,
R_3CUGYAZj8VSLTa9,Default Response Set,Anonymous,,,78.185.125.21,0,2015-03-02 13:35:30,2015-03-02 13:38:06,1,1,FCoskun,Safari,7.1.3,Macintosh,1440x900,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/7.1.3 Safari/537.85.12",Male,26-30 years,High School,Java,freelancer/university student,TR - Turkey,"2,(GMT+02:00) Istanbul",10-completely willing,20,25,25,25,41.018600463867,28.964706420898,-1,
R_28ScBMKsCpXWCRJ,Default Response Set,Anonymous,,,76.104.218.250,0,2015-03-02 14:09:52,2015-03-02 14:11:26,1,1,kit1980,Firefox,30.0,Ubuntu,1312x738,11.2.202,1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:30.0) Gecko/20100101 Firefox/30.0,Male,31-40 years,Undergraduate/Bachelor's degree,Python,Uneployed,UA - Ukraine,"-8,(GMT-08:00) Pacific Time (US &amp; Canada)",8,5,5,5,5,47.62060546875,-122.02270507812,-1,
R_3RkhHHQANvvfmXf,Default Response Set,Anonymous,,,92.82.166.189,0,2015-03-02 14:19:58,2015-03-02 14:21:15,1,1,CatalinT,Chrome,41.0.2272.74,Macintosh,1440x900,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.74 Safari/537.36",Male,26-30 years,Postgraduate/Master of arts,C++,Student,RO - Romania,"2,(GMT+02:00) Bucharest",8,12,12,12,12,44.433303833008,26.100006103516,-1,
R_2VgXxHoK4W8Edt4,Default Response Set,Anonymous,,,216.75.238.166,0,2015-03-02 14:26:06,2015-03-02 14:28:41,1,1,jbgeddes3,Safari,8.0.3,Macintosh,1440x900,16.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/8.0.3 Safari/600.3.18",Male,31-40 years,Doctorate/PhD,Python,unemployed,US - United States,"-8,(GMT-08:00) Pacific Time (US &amp; Canada)",8,12,12,12,12,37.718597412109,-121.91639709473,-1,
R_2rSbO35ei6XPEKD,Default Response Set,Anonymous,,,188.242.84.180,0,2015-03-02 14:20:45,2015-03-02 14:31:15,1,1,Irioth,Chrome,40.0.2214.111,Linux x86_64,1600x900,-1,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/40.0.2214.111 Chrome/40.0.2214.111 Safari/537.36",Male,26-30 years,Undergraduate/Bachelor's degree,Java,employee,RU - Russia,"3,(GMT+03:00) St. Petersburg",7,8,4,4,10,59.894393920898,30.264205932617,-1,
R_31BgjmtWJBW3nGj,Default Response Set,Anonymous,,,85.237.234.23,0,2015-03-02 14:35:41,2015-03-02 14:37:33,1,1,bohuss,Chrome,40.0.2214.115,Windows NT 6.1,1920x1080,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,31-40 years,Postgraduate/Master of arts,Java,employed,SK - Slovakia,"1,(GMT+01:00) Bratislava",8,5,5,5,10,48.666702270508,19.5,-1,
R_ZkuW1FaFTX6wJX3,Default Response Set,Anonymous,,,118.21.33.167,0,2015-03-02 14:33:18,2015-03-02 14:37:43,1,1,bluenet,Chrome,40.0.2214.111,Linux x86_64,1366x768,16.0.0,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/40.0.2214.111 Chrome/40.0.2214.111 Safari/537.36",Male,26-30 years,Postgraduate/Master of arts,Python,meiji,JP - Japan,"9,(GMT+09:00) Tokyo",7,10,10,10,10,35.684997558594,139.75140380859,-1,
R_2aySB7APrxY7fTG,Default Response Set,Anonymous,,,199.244.214.110,0,2015-03-02 14:49:46,2015-03-02 14:52:19,1,1,ahoenig,Chrome,40.0.2214.111,Windows NT 6.1,1280x1024,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36",Male,41-50 years,Undergraduate/Bachelor's degree,C#,Employed,US - United States,"-6,(GMT-06:00) Central Time (US &amp; Canada)",6,6,2,2,6,37.553802490234,-77.460296630859,-1,
R_2BzE822RPn8oAm1,Default Response Set,Anonymous,,,50.193.52.113,0,2015-03-02 14:51:30,2015-03-02 14:55:23,1,1,Johan.de.Ruiter,Chrome,40.0.2214.109,Linux,360x640,-1,1,"Mozilla/5.0 (Linux; Android 5.0.1; Nexus 5 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.109 Mobile Safari/537.36",Male,31-40 years,Postgraduate/Master of arts,C++,Software Engineer,NL - Netherlands,"-8,(GMT-08:00) Pacific Time (US &amp; Canada)",3,7,8,12,7,37.413497924805,-122.13119506836,-1,
R_6G3DHQvPWNmzWSt,Default Response Set,Anonymous,,,176.15.237.126,0,2015-03-02 14:53:22,2015-03-02 14:57:28,1,1,goldfinch,Chrome,40.0.2214.115,Windows NT 6.2,1920x1080,16.0.0,1,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,26-30 years,Postgraduate/Master of arts,C#,Employed,RU - Russia,"3,(GMT+03:00) Moscow",7,1,5,5,16,56.997192382812,40.971405029297,-1,
R_OvWQPSFXzOVOI2l,Default Response Set,Anonymous,,,37.204.142.102,0,2015-03-02 14:57:01,2015-03-02 14:59:28,1,1,Fed,Firefox,35.0,Windows NT 6.1,1366x768,16.0.0,1,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,Male,20-25 years old,Postgraduate/Master of arts,C++,Unemployed,RU - Russia,"3,(GMT+03:00) Moscow",4,8,8,8,8,55.752197265625,37.615600585938,-1,
R_30pKd5qKPGYWJ9L,Default Response Set,Anonymous,,,37.204.142.102,8,2015-03-02 15:02:32,2015-03-02 15:15:08,1,1,Fed,Firefox,35.0,Windows NT 6.1,1366x768,16.0.0,1,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,Male,20-25 years old,Postgraduate/Master of arts,C++,Unemployed,RU - Russia,"3,(GMT+03:00) Moscow",4,8,8,8,8,55.752197265625,37.615600585938,-1,
R_3EXtJPsUfea62cF,Default Response Set,Anonymous,,,85.15.127.171,0,2015-03-02 15:10:34,2015-03-02 15:15:36,1,1,vaa2804,Chrome,40.0.2214.115,Windows NT 6.1,1360x768,16.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,51 years and above,Postgraduate/Master of arts,C++,developer,RU - Russia,"10,(GMT+10:00) Vladivostok",5,3,3,3,3,48.480804443359,135.09280395508,-1,
R_1KuOBFYGqLM8nrG,Default Response Set,Anonymous,,,89.164.29.211,0,2015-03-02 15:17:52,2015-03-02 15:21:43,1,1,logico14,Chrome,39.0.2171.71,Linux i686,1366x768,15.0.0,1,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36",Male,<20 years old,High School,C++,Student,HR - Croatia,"1,(GMT+01:00) Zagreb",8,10,10,10,10,45.733306884766,15.966705322266,-1,
R_25EoQ0MtEDfC60G,Default Response Set,Anonymous,,,203.110.246.22,0,2015-03-02 15:20:07,2015-03-02 15:24:10,1,1,https://www.topcoder.com/,Chrome,37.0.2062.94,Linux i686,1366x768,14.0.0,1,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36",Male,20-25 years old,Postgraduate/Master of arts,Other,,IN - India,"5.5,(GMT+05:30) Kolkata",9,8,6,12,6,22.333297729492,87.333312988281,-1,
R_2ValkzJXItiZyQE,Default Response Set,Anonymous,,,5.68.55.123,0,2015-03-02 15:24:31,2015-03-02 15:28:29,1,1,neo.subrata,Chrome,28.0.1500.94,Linux,640x360,-1,1,"Mozilla/5.0 (Linux; Android 4.4.2; en-gb; SAMSUNG GT-I9195 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36",Male,26-30 years,Undergraduate/Bachelor's degree,C#,employed in tcs,IN - India,,10-completely willing,12,12,18,18,51.566696166992,-0.41670227050781,-1,
R_2dg3jpms05kYbWl,Default Response Set,Anonymous,,,95.105.230.126,0,2015-03-02 15:15:01,2015-03-02 15:31:42,1,1,martin.trojak,Firefox,35.0,Ubuntu,1680x1050,11.2.202,,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0,Male,31-40 years,Postgraduate/Master of arts,Java,senior java developer,SK - Slovakia,"1,(GMT+01:00) Bratislava",3,3,0,3,8,48.149993896484,17.11669921875,-1,
R_20NnpCKr2v1ZFZx,Default Response Set,Anonymous,,,62.24.91.244,0,2015-03-02 15:31:56,2015-03-02 15:34:09,1,1,Mimino,Firefox,35.0,Windows NT 6.1,1536x864,16.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,Male,20-25 years old,Undergraduate/Bachelor's degree,Python,Founder of Monitora.cz,SK - Slovakia,"1,(GMT+01:00) Prague",8,6,6,6,6,50.083297729492,14.466705322266,-1,
R_2SiDL05i2JOlisN,Default Response Set,Anonymous,,,5.68.55.123,0,2015-03-02 15:35:50,2015-03-02 15:39:00,1,1,neo.subrata,Chrome,40.0.2214.115,Windows NT 6.3,1366x768,16.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,26-30 years,Undergraduate/Bachelor's degree,C#,TCS,IN - India,"0,(GMT) London",9,24,24,36,36,51.566696166992,-0.41670227050781,-1,
R_27CHhYM5zn7K4GD,Default Response Set,Anonymous,,,5.68.55.123,0,2015-03-02 15:39:17,2015-03-02 15:40:32,1,1,neo.subrata,Chrome,40.0.2214.115,Windows NT 6.3,1366x768,16.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",Male,26-30 years,Undergraduate/Bachelor's degree,C#,tcs,IN - India,"0,(GMT) London",9,24,24,36,36,51.566696166992,-0.41670227050781,-1,
R_rjcNPPbdO0rxi9z,Default Response Set,Anonymous,,,200.118.141.243,0,2015-03-02 15:38:29,2015-03-02 15:42:28,1,1,andresduque,Chrome,40.0.2214.111,Windows NT 6.3,1440x900,-1,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36",Male,26-30 years,Undergraduate/Bachelor's degree,Java,,CO - Colombia,"-5,(GMT-05:00) Bogota",7,8,8,8,16,4.6492004394531,-74.062797546387,-1,
