ga:eventCategory	ga:eventLabel	ga:eventAction	ga:date	ga:pageviews
mmViewProblem	Aditya.Chowdhry	16298: ABCSpeedup	20150116	1
mmViewProblem	Aditya.Jawade	16275: ActiveMolecules	20150207	2
mmViewProblem	Aditya_O_Lee	16298: ABCSpeedup	20150118	2
mmViewProblem	Aditya_O_Lee	16344: ChildStuntedness5	20150227	7
mmViewProblem	Aditya_O_Lee	16349: MovingNQueens	20150227	1
mmViewProblem	AdmiralSah	16307: TripSafetyFactors	20150221	2
mmViewProblem	Adriana.Tufa	16237: FacialEmotions	20150121	2
mmViewProblem	Adriana.Tufa	16275: ActiveMolecules	20150120	2
mmViewProblem	Advclck	16275: ActiveMolecules	20150108	19
mmViewProblem	Aegeaner	16275: ActiveMolecules	20150111	2
mmViewProblem	Afif	16275: ActiveMolecules	20150115	2
mmViewProblem	Afif	16298: ABCSpeedup	20150115	2
mmViewProblem	Agung.Santoso	16237: FacialEmotions	20150109	4
mmViewProblem	Agung.Santoso	16298: ABCSpeedup	20150112	3
mmViewProblem	AhazZ	16349: MovingNQueens	20150302	1
mmViewProblem	Ahmed.32	16275: ActiveMolecules	20150123	4
mmViewProblem	Ahmed.32	16298: ABCSpeedup	20150123	4
mmViewProblem	Ahmed.32	16307: TripSafetyFactors	20150201	7
mmViewProblem	AhmedKhaled1994	16337: PrivateMatch	20150213	5
mmViewProblem	AhmedTai	16307: TripSafetyFactors	20150129	1
mmViewProblem	Ahmedsoliman0x	16198: ForestFire	20150111	5
mmViewProblem	Aileen.Xi	16275: ActiveMolecules	20150108	2
mmViewProblem	AishwaryaBabu	16168: OptimalDrug	20150211	2
mmViewProblem	Akash.Chauhan	16349: MovingNQueens	20150225	2
mmViewProblem	Akash_Deep_265	16344: ChildStuntedness5	20150228	10
mmViewProblem	Akash_Deep_265	16349: MovingNQueens	20150228	2
mmViewProblem	Akemonde	16349: MovingNQueens	20150226	2
mmViewProblem	AlaaHassan	16307: TripSafetyFactors	20150201	1
mmViewProblem	AlanJumpi	16307: TripSafetyFactors	20150128	12
mmViewProblem	Aldijohny	16307: TripSafetyFactors	20150202	66
mmViewProblem	Aldijohny	16307: TripSafetyFactors	20150203	8
mmViewProblem	Aldijohny	16307: TripSafetyFactors	20150207	25
mmViewProblem	Aldijohny	16307: TripSafetyFactors	20150209	6
mmViewProblem	Aldijohny	16337: PrivateMatch	20150214	5
mmViewProblem	Aldijohny	16349: MovingNQueens	20150228	2
mmViewProblem	Aldijohny	16349: MovingNQueens	20150301	6
mmViewProblem	Alex.Mitchell	16307: TripSafetyFactors	20150131	1
mmViewProblem	Alex_1990	16349: MovingNQueens	20150302	2
mmViewProblem	Alexander.Park	16298: ABCSpeedup	20150112	2
mmViewProblem	AlexanderL	16298: ABCSpeedup	20150113	13
mmViewProblem	AlexanderL	16307: TripSafetyFactors	20150127	5
mmViewProblem	AlexanderL	16307: TripSafetyFactors	20150206	7
mmViewProblem	AlexanderL	16349: MovingNQueens	20150301	7
mmViewProblem	Alexey.Serov	16298: ABCSpeedup	20150113	1
mmViewProblem	Alexmipt	16237: FacialEmotions	20150126	2
mmViewProblem	AlgorithManna	16344: ChildStuntedness5	20150221	3
mmViewProblem	Altanic	16069: OCROptimization	20150129	14
mmViewProblem	Altanic	16166: PropellerDetector	20150129	14
mmViewProblem	Altanic	16168: OptimalDrug	20150129	14
mmViewProblem	Altanic	16196: ForestFire	20150129	14
mmViewProblem	Altanic	16209: ChildStuntedness3	20150129	14
mmViewProblem	Altanic	16275: ActiveMolecules	20150129	14
mmViewProblem	AlvaroF	16359: BannerRegistration	20150302	10
mmViewProblem	Ambily.raj	16307: TripSafetyFactors	20150131	13
mmViewProblem	Amir.k	16272: ChildStuntedness4	20150126	5
mmViewProblem	Amit.Chahar	16298: ABCSpeedup	20150115	8
mmViewProblem	Amit.Levi	16168: OptimalDrug	20150220	13
mmViewProblem	Amit.Levi	16307: TripSafetyFactors	20150220	4
mmViewProblem	AmrMohamed1996	16298: ABCSpeedup	20150127	1
mmViewProblem	AmrMohamed1996	16307: TripSafetyFactors	20150127	3
mmViewProblem	Anajya	16337: PrivateMatch	20150217	2
mmViewProblem	AnandVeeramani	16275: ActiveMolecules	20150119	5
mmViewProblem	AnandVeeramani	16359: BannerRegistration	20150304	7
mmViewProblem	AnandVeeramani	16359: BannerRegistration	20150305	8
mmViewProblem	Anas.shami	16298: ABCSpeedup	20150115	4
mmViewProblem	AncientNinja	16272: ChildStuntedness4	20150126	2
mmViewProblem	AncientNinja	16275: ActiveMolecules	20150125	2
mmViewProblem	AncientNinja	16298: ABCSpeedup	20150123	9
mmViewProblem	AncientNinja	16298: ABCSpeedup	20150204	1
mmViewProblem	AncientNinja	16307: TripSafetyFactors	20150127	5
mmViewProblem	AncientNinja	16307: TripSafetyFactors	20150204	7
mmViewProblem	Andre.Peng	16337: PrivateMatch	20150213	1
mmViewProblem	Andrea.Corsini	10082: MasterMind	20150223	20
mmViewProblem	Andrea.Corsini	16344: ChildStuntedness5	20150223	20
mmViewProblem	Andrea.Corsini	16349: MovingNQueens	20150223	20
mmViewProblem	Andrea.Corsini	16349: MovingNQueens	20150224	4
mmViewProblem	Andrea.Garaj	16298: ABCSpeedup	20150127	2
mmViewProblem	AndrewLP	16181: AsteroidDetector	20150225	2
mmViewProblem	Andrew_Khoma	16307: TripSafetyFactors	20150218	3
mmViewProblem	Andy.Kang	16349: MovingNQueens	20150224	1
mmViewProblem	AndyFang	16153: ChildStuntedness2	20150224	16
mmViewProblem	AndyFang	16237: FacialEmotions	20150110	14
mmViewProblem	AndyFang	16272: ChildStuntedness4	20150110	8
mmViewProblem	AndyFang	16272: ChildStuntedness4	20150112	12
mmViewProblem	AndyFang	16272: ChildStuntedness4	20150116	4
mmViewProblem	AndyFang	16272: ChildStuntedness4	20150123	6
mmViewProblem	AndyFang	16272: ChildStuntedness4	20150127	16
mmViewProblem	AndyFang	16275: ActiveMolecules	20150108	19
mmViewProblem	AndyFang	16275: ActiveMolecules	20150109	1
mmViewProblem	AndyFang	16275: ActiveMolecules	20150116	13
mmViewProblem	AndyFang	16298: ABCSpeedup	20150109	1
mmViewProblem	AndyFang	16298: ABCSpeedup	20150116	13
mmViewProblem	AndyFang	16307: TripSafetyFactors	20150127	16
mmViewProblem	AndyFang	16307: TripSafetyFactors	20150130	3
mmViewProblem	AndyFang	16344: ChildStuntedness5	20150224	16
mmViewProblem	AndyFang	16344: ChildStuntedness5	20150228	11
mmViewProblem	AndyFang	16349: MovingNQueens	20150228	11
mmViewProblem	AndyFang	16359: BannerRegistration	20150304	10
mmViewProblem	Angelleal14	16349: MovingNQueens	20150223	9
mmViewProblem	AnileshKK	16275: ActiveMolecules	20150218	5
mmViewProblem	AnileshKK	16337: PrivateMatch	20150218	8
mmViewProblem	AnirudhRathinam	16307: TripSafetyFactors	20150204	7
mmViewProblem	Anjanajanghu	16275: ActiveMolecules	20150130	2
mmViewProblem	Ankit.Anurag	16237: FacialEmotions	20150222	2
mmViewProblem	Ankit.Ramtriya	16349: MovingNQueens	20150224	1
mmViewProblem	Anonymous_User	16307: TripSafetyFactors	20150208	1
mmViewProblem	Ansary	15609: SnowCleaning	20150126	2
mmViewProblem	Ansary	16337: PrivateMatch	20150215	2
mmViewProblem	Anthony.Burns	16307: TripSafetyFactors	20150129	5
mmViewProblem	Anthony.Burns	16307: TripSafetyFactors	20150130	5
mmViewProblem	Anupam02	16307: TripSafetyFactors	20150127	3
mmViewProblem	AppsTitude	16275: ActiveMolecules	20150108	14
mmViewProblem	Arbab.Khan	16344: ChildStuntedness5	20150221	2
mmViewProblem	Arca	16344: ChildStuntedness5	20150222	2
mmViewProblem	ArcaneSilence	16344: ChildStuntedness5	20150223	1
mmViewProblem	Archak	16298: ABCSpeedup	20150112	2
mmViewProblem	Archak	16307: TripSafetyFactors	20150128	3
mmViewProblem	Archak	16307: TripSafetyFactors	20150209	2
mmViewProblem	ArcherIntel	16307: TripSafetyFactors	20150203	2
mmViewProblem	Argie.Gaviola	16307: TripSafetyFactors	20150205	2
mmViewProblem	Ariefk	16307: TripSafetyFactors	20150130	2
mmViewProblem	ArmHex	16013: CollageMaker	20150209	3
mmViewProblem	Arnie.Mengle	16337: PrivateMatch	20150213	1
mmViewProblem	Arpitha_DR	16298: ABCSpeedup	20150114	3
mmViewProblem	ArteVisual	16359: BannerRegistration	20150304	2
mmViewProblem	ArthurSonzogni	16307: TripSafetyFactors	20150127	1
mmViewProblem	Artsem	16349: MovingNQueens	20150301	2
mmViewProblem	Arunraja	16298: ABCSpeedup	20150113	9
mmViewProblem	Arunraja	16298: ABCSpeedup	20150117	1
mmViewProblem	Arunraja	16298: ABCSpeedup	20150125	7
mmViewProblem	Arvind.Prakash	16298: ABCSpeedup	20150114	4
mmViewProblem	Ashmaratha	16307: TripSafetyFactors	20150208	3
mmViewProblem	AshtonHarding	16307: TripSafetyFactors	20150130	2
mmViewProblem	At..sH	16349: MovingNQueens	20150224	1
mmViewProblem	Atif.Akbar	16307: TripSafetyFactors	20150203	2
mmViewProblem	Atish123	10744: DensityImaging	20150226	10
mmViewProblem	Atish123	14206: ChessPuzzle	20150226	10
mmViewProblem	Atish123	14592: StringCompression	20150226	10
mmViewProblem	Atish123	16198: ForestFire	20150226	10
mmViewProblem	Avitella	16359: BannerRegistration	20150304	3
mmViewProblem	Avitella	16359: BannerRegistration	20150305	4
mmViewProblem	AwsSimeon	16349: MovingNQueens	20150223	19
mmViewProblem	Ayaka.Kondo	16359: BannerRegistration	20150303	1
mmViewProblem	Ayat_Ra	13709: MegaParty	20150125	6
mmViewProblem	Ayat_Ra	15816: GatheringResources	20150108	6
mmViewProblem	Ayat_Ra	15876: AlleleClassifier	20150108	13
mmViewProblem	Ayat_Ra	16012: CollageMaker	20150108	13
mmViewProblem	Ayat_Ra	16065: ChildStuntedness	20150108	13
mmViewProblem	Ayat_Ra	16168: OptimalDrug	20150108	13
mmViewProblem	Ayat_Ra	16237: FacialEmotions	20150108	2
mmViewProblem	Ayat_Ra	16298: ABCSpeedup	20150125	4
mmViewProblem	BC-Tim	16307: TripSafetyFactors	20150128	2
mmViewProblem	BDevil15	15458: BostonRiskPredictor	20150213	6
mmViewProblem	BDevil15	15609: SnowCleaning	20150213	6
mmViewProblem	BDevil15	15630: PedigreeEliteClassifier	20150213	6
mmViewProblem	BSeanSun	16275: ActiveMolecules	20150114	1
mmViewProblem	BSeanSun	16298: ABCSpeedup	20150114	2
mmViewProblem	BabuMurugesan	16307: TripSafetyFactors	20150207	1
mmViewProblem	Badalchalise	16307: TripSafetyFactors	20150205	2
mmViewProblem	Baian98	16349: MovingNQueens	20150226	6
mmViewProblem	Bailei	16349: MovingNQueens	20150301	1
mmViewProblem	Bala1234	16307: TripSafetyFactors	20150131	2
mmViewProblem	Bananajunk	16344: ChildStuntedness5	20150219	1
mmViewProblem	BandedFurret	15983: RectanglesAndHoles	20150107	6
mmViewProblem	Bankevich	16307: TripSafetyFactors	20150130	4
mmViewProblem	Bankevich	16307: TripSafetyFactors	20150203	4
mmViewProblem	Bankevich	16307: TripSafetyFactors	20150204	17
mmViewProblem	Bankevich	16307: TripSafetyFactors	20150209	6
mmViewProblem	Bankevich	16307: TripSafetyFactors	20150210	19
mmViewProblem	Bankevich	16307: TripSafetyFactors	20150219	6
mmViewProblem	Bankevich	16344: ChildStuntedness5	20150219	3
mmViewProblem	Bankevich	16344: ChildStuntedness5	20150223	17
mmViewProblem	Bankevich	16344: ChildStuntedness5	20150305	28
mmViewProblem	Bankevich	16349: MovingNQueens	20150224	2
mmViewProblem	Bankevich	16359: BannerRegistration	20150305	28
mmViewProblem	Bargash	16359: BannerRegistration	20150305	10
mmViewProblem	Baris.Tezel	16307: TripSafetyFactors	20150302	4
mmViewProblem	Barry.Wolmarans	16349: MovingNQueens	20150301	2
mmViewProblem	Basant.Kumar	16337: PrivateMatch	20150218	2
mmViewProblem	Basia2b	10722: DensityImaging	20150210	8
mmViewProblem	Basia2b	11130: ServiceFacilities	20150210	8
mmViewProblem	BatRoss	16298: ABCSpeedup	20150112	13
mmViewProblem	BatRoss	16298: ABCSpeedup	20150113	15
mmViewProblem	BatRoss	16298: ABCSpeedup	20150114	3
mmViewProblem	BatRoss	16337: PrivateMatch	20150214	13
mmViewProblem	Bathri	16337: PrivateMatch	20150216	5
mmViewProblem	Bayonetta_zs	16275: ActiveMolecules	20150108	3
mmViewProblem	BazookaJoJo	16275: ActiveMolecules	20150115	2
mmViewProblem	Beastcoder	16307: TripSafetyFactors	20150205	1
mmViewProblem	Beastoukette	16349: MovingNQueens	20150306	4
mmViewProblem	Ben.Hafer	16307: TripSafetyFactors	20150129	1
mmViewProblem	Beskaska	16275: ActiveMolecules	20150112	1
mmViewProblem	Beskaska	16298: ABCSpeedup	20150112	1
mmViewProblem	Beskaska	16307: TripSafetyFactors	20150208	7
mmViewProblem	Beskaska	16307: TripSafetyFactors	20150209	2
mmViewProblem	Beto___	16298: ABCSpeedup	20150116	4
mmViewProblem	BhaGeera	16298: ABCSpeedup	20150117	1
mmViewProblem	Bhavishya1	16307: TripSafetyFactors	20150127	6
mmViewProblem	BickeringNut	16337: PrivateMatch	20150218	2
mmViewProblem	Bima.Wijaya	16298: ABCSpeedup	20150118	2
mmViewProblem	Bishop92	16307: TripSafetyFactors	20150204	2
mmViewProblem	BitRoyal	16359: BannerRegistration	20150303	2
mmViewProblem	Bit_Smasher	16272: ChildStuntedness4	20150205	4
mmViewProblem	Bit_Smasher	16298: ABCSpeedup	20150205	4
mmViewProblem	BlackBrain	16349: MovingNQueens	20150228	2
mmViewProblem	BlackIceDaemon	16344: ChildStuntedness5	20150226	1
mmViewProblem	BlakeWL	16298: ABCSpeedup	20150113	4
mmViewProblem	Blimp73	16272: ChildStuntedness4	20150130	4
mmViewProblem	Blimp73	16275: ActiveMolecules	20150130	3
mmViewProblem	Blimp73	16298: ABCSpeedup	20150130	5
mmViewProblem	Blimp73	16349: MovingNQueens	20150224	4
mmViewProblem	Bobby.Hudgins	16337: PrivateMatch	20150215	4
mmViewProblem	BogdanNicula	16349: MovingNQueens	20150302	24
mmViewProblem	BorisVB	16307: TripSafetyFactors	20150201	2
mmViewProblem	Bounciness	16337: PrivateMatch	20150215	5
mmViewProblem	Boyan.Atanasov	16307: TripSafetyFactors	20150128	2
mmViewProblem	Braddy	16359: BannerRegistration	20150303	8
mmViewProblem	Breusov	16359: BannerRegistration	20150304	3
mmViewProblem	Brian.Lau	16298: ABCSpeedup	20150112	2
mmViewProblem	BrijS	16344: ChildStuntedness5	20150222	3
mmViewProblem	Bruailen	15982: RectanglesAndHoles	20150218	15
mmViewProblem	Bruailen	15983: RectanglesAndHoles	20150218	15
mmViewProblem	Bruno.Bellizzi	16275: ActiveMolecules	20150204	2
mmViewProblem	Bryan.Deloeste	16349: MovingNQueens	20150226	2
mmViewProblem	BubbaJo	16298: ABCSpeedup	20150215	5
mmViewProblem	BumBum	16307: TripSafetyFactors	20150129	3
mmViewProblem	BumBum	16307: TripSafetyFactors	20150203	25
mmViewProblem	Bunchhieng	16344: ChildStuntedness5	20150220	5
mmViewProblem	Burakbb	16298: ABCSpeedup	20150111	3
mmViewProblem	Bushchain	16275: ActiveMolecules	20150121	2
mmViewProblem	ByungWook	16272: ChildStuntedness4	20150118	1
mmViewProblem	ByungWook	16298: ABCSpeedup	20150118	2
mmViewProblem	ByungWook	16307: TripSafetyFactors	20150129	2
mmViewProblem	CB3	16307: TripSafetyFactors	20150130	6
mmViewProblem	CB3	16307: TripSafetyFactors	20150210	12
mmViewProblem	CFreeze	16307: TripSafetyFactors	20150126	2
mmViewProblem	CJ246	16298: ABCSpeedup	20150123	2
mmViewProblem	CRiMER_RUS	16344: ChildStuntedness5	20150228	4
mmViewProblem	CRiMER_RUS	16349: MovingNQueens	20150228	4
mmViewProblem	Cannon	16237: FacialEmotions	20150108	2
mmViewProblem	Cannon	16349: MovingNQueens	20150225	15
mmViewProblem	Cannon	16349: MovingNQueens	20150226	6
mmViewProblem	Cannon	16349: MovingNQueens	20150227	6
mmViewProblem	Cannon	16349: MovingNQueens	20150228	2
mmViewProblem	Cannon	16349: MovingNQueens	20150301	9
mmViewProblem	Cannon	16349: MovingNQueens	20150302	9
mmViewProblem	Cannon	16349: MovingNQueens	20150303	35
mmViewProblem	Caraz	16165: PropellerDetector	20150210	14
mmViewProblem	Caraz	16196: ForestFire	20150210	14
mmViewProblem	Caraz	16298: ABCSpeedup	20150207	7
mmViewProblem	Caraz	16298: ABCSpeedup	20150210	14
mmViewProblem	Caraz	16307: TripSafetyFactors	20150207	1
mmViewProblem	Caribooo	16298: ABCSpeedup	20150211	2
mmViewProblem	Caribooo	16337: PrivateMatch	20150218	27
mmViewProblem	Caribooo	16344: ChildStuntedness5	20150223	1
mmViewProblem	Caribooo	16349: MovingNQueens	20150228	2
mmViewProblem	Carljhonson	15983: RectanglesAndHoles	20150224	29
mmViewProblem	Carljhonson	16013: CollageMaker	20150224	29
mmViewProblem	Carljhonson	16307: TripSafetyFactors	20150224	57
mmViewProblem	Carljhonson	16344: ChildStuntedness5	20150223	24
mmViewProblem	Carljhonson	16344: ChildStuntedness5	20150224	43
mmViewProblem	Carljhonson	16349: MovingNQueens	20150223	176
mmViewProblem	Carljhonson	16349: MovingNQueens	20150224	245
mmViewProblem	Carljhonson	16349: MovingNQueens	20150225	109
mmViewProblem	Carola	16275: ActiveMolecules	20150109	2
mmViewProblem	CatalinT	15938: SquareRemover	20150116	18
mmViewProblem	CatalinT	15982: RectanglesAndHoles	20150116	18
mmViewProblem	CatalinT	16012: CollageMaker	20150116	46
mmViewProblem	CatalinT	16013: CollageMaker	20150116	28
mmViewProblem	CatalinT	16065: ChildStuntedness	20150116	28
mmViewProblem	CatalinT	16165: PropellerDetector	20150116	28
mmViewProblem	CatalinT	16166: PropellerDetector	20150116	28
mmViewProblem	CatalinT	16168: OptimalDrug	20150116	28
mmViewProblem	CatalinT	16196: ForestFire	20150116	18
mmViewProblem	CatalinT	16275: ActiveMolecules	20150116	28
mmViewProblem	CatalinT	16298: ABCSpeedup	20150115	6
mmViewProblem	CatalinT	16307: TripSafetyFactors	20150305	12
mmViewProblem	CatalinT	16349: MovingNQueens	20150305	12
mmViewProblem	CatalinT	16359: BannerRegistration	20150302	4
mmViewProblem	CercaTrova	16307: TripSafetyFactors	20150130	3
mmViewProblem	Chandra9	16198: ForestFire	20150305	5
mmViewProblem	Chandra9	16307: TripSafetyFactors	20150305	1
mmViewProblem	CharlesHD	16298: ABCSpeedup	20150121	2
mmViewProblem	CharlesHD	16307: TripSafetyFactors	20150204	2
mmViewProblem	ChelseaC	16307: TripSafetyFactors	20150131	2
mmViewProblem	Chenyao_	16307: TripSafetyFactors	20150130	3
mmViewProblem	ChienHung.Lin	16349: MovingNQueens	20150228	2
mmViewProblem	Chikov2	16359: BannerRegistration	20150304	7
mmViewProblem	Chris.Lamont	16298: ABCSpeedup	20150111	1
mmViewProblem	Chris.Zhao	16165: PropellerDetector	20150131	2
mmViewProblem	ChrisLai	16307: TripSafetyFactors	20150209	2
mmViewProblem	Chrisgalvan44	16349: MovingNQueens	20150224	5
mmViewProblem	Cico97	16000: RectanglesAndHoles	20150220	4
mmViewProblem	Cico97	16344: ChildStuntedness5	20150220	8
mmViewProblem	ClearAll	16298: ABCSpeedup	20150111	6
mmViewProblem	Cloche	16298: ABCSpeedup	20150118	1
mmViewProblem	CodeGibbon	16307: TripSafetyFactors	20150203	1
mmViewProblem	Code_Ninja	16307: TripSafetyFactors	20150130	2
mmViewProblem	ComputerCandy	16349: MovingNQueens	20150227	6
mmViewProblem	ComputerGenie	16359: BannerRegistration	20150305	3
mmViewProblem	Conjurer	16307: TripSafetyFactors	20150201	2
mmViewProblem	Connector93	16307: TripSafetyFactors	20150209	3
mmViewProblem	CooperHiggins	16307: TripSafetyFactors	20150205	2
mmViewProblem	Corhina	16307: TripSafetyFactors	20150203	1
mmViewProblem	Cornix	16307: TripSafetyFactors	20150128	3
mmViewProblem	CorraMatteo	16298: ABCSpeedup	20150116	5
mmViewProblem	Cranium	16349: MovingNQueens	20150223	4
mmViewProblem	Cranium	16349: MovingNQueens	20150224	3
mmViewProblem	Crazykernal	14206: ChessPuzzle	20150305	14
mmViewProblem	Crazykernal	16198: ForestFire	20150305	14
mmViewProblem	Creasyw	16307: TripSafetyFactors	20150128	5
mmViewProblem	Creasyw	16307: TripSafetyFactors	20150131	8
mmViewProblem	Crooklyn	16298: ABCSpeedup	20150212	2
mmViewProblem	CryptoMexican	16275: ActiveMolecules	20150122	4
mmViewProblem	CryptoMexican	16298: ABCSpeedup	20150122	4
mmViewProblem	Cuadd	16272: ChildStuntedness4	20150112	2
mmViewProblem	Cyter	16298: ABCSpeedup	20150113	1
mmViewProblem	CzarXerxes	16349: MovingNQueens	20150302	5
mmViewProblem	CzarXerxes	16359: BannerRegistration	20150304	2
mmViewProblem	CzarXerxes	16359: BannerRegistration	20150305	2
mmViewProblem	CzarXerxes	16359: BannerRegistration	20150306	2
mmViewProblem	D-503	15648: FragileMirrors	20150123	65
mmViewProblem	D4N73	16298: ABCSpeedup	20150114	2
mmViewProblem	DHEERAJSONI	16359: BannerRegistration	20150302	2
mmViewProblem	DHMP	16349: MovingNQueens	20150301	4
mmViewProblem	DI49	16275: ActiveMolecules	20150109	2
mmViewProblem	DJEB	16275: ActiveMolecules	20150109	2
mmViewProblem	DJVR21	16349: MovingNQueens	20150306	2
mmViewProblem	DKivaRAM	16359: BannerRegistration	20150304	3
mmViewProblem	DSGuru	16307: TripSafetyFactors	20150202	1
mmViewProblem	DamonClark	16307: TripSafetyFactors	20150128	1
mmViewProblem	Dan.Sisan	16237: FacialEmotions	20150202	4
mmViewProblem	Dan.Sisan	16298: ABCSpeedup	20150202	4
mmViewProblem	Dan.Sisan	16307: TripSafetyFactors	20150202	17
mmViewProblem	Dan.Sisan	16307: TripSafetyFactors	20150204	2
mmViewProblem	Dan.Zhur	16307: TripSafetyFactors	20150206	3
mmViewProblem	Daniel.Dang	16307: TripSafetyFactors	20150130	1
mmViewProblem	Darkmaster9	16307: TripSafetyFactors	20150203	1
mmViewProblem	Daut	16272: ChildStuntedness4	20150113	1
mmViewProblem	DaviP	16349: MovingNQueens	20150302	10
mmViewProblem	DaviP	16359: BannerRegistration	20150305	5
mmViewProblem	David.Divad	16275: ActiveMolecules	20150111	2
mmViewProblem	David.Kooijmans	13772: J2KDecode	20150207	1
mmViewProblem	David.Kooijmans	16272: ChildStuntedness4	20150207	8
mmViewProblem	David.Kooijmans	16307: TripSafetyFactors	20150207	3
mmViewProblem	DavidHarrison	16344: ChildStuntedness5	20150220	4
mmViewProblem	Dccacau	16275: ActiveMolecules	20150108	2
mmViewProblem	De_nis	15038: DATCompression	20150210	61
mmViewProblem	De_nis	15077: DATCompression2	20150211	9
mmViewProblem	De_nis	16198: ForestFire	20150305	11
mmViewProblem	De_nis	16298: ABCSpeedup	20150305	11
mmViewProblem	De_nis	16307: TripSafetyFactors	20150305	5
mmViewProblem	DeanTM	16275: ActiveMolecules	20150304	2
mmViewProblem	Deepak.Yadav1	16307: TripSafetyFactors	20150131	1
mmViewProblem	Deepcodak	15860: ColorLinker	20150208	4
mmViewProblem	DejvMatikar	16275: ActiveMolecules	20150107	6
mmViewProblem	DejvMatikar	16275: ActiveMolecules	20150109	7
mmViewProblem	DejvMatikar	16298: ABCSpeedup	20150109	7
mmViewProblem	DemonImp	16307: TripSafetyFactors	20150130	3
mmViewProblem	Dennis.Turbay	16065: ChildStuntedness	20150118	3
mmViewProblem	Dennis.Turbay	16298: ABCSpeedup	20150118	1
mmViewProblem	Deretin	16349: MovingNQueens	20150223	2
mmViewProblem	Deretin	16349: MovingNQueens	20150224	6
mmViewProblem	DesertStorm	16359: BannerRegistration	20150304	25
mmViewProblem	Desix	10500: Scruffle	20150120	5
mmViewProblem	Dessyk	16307: TripSafetyFactors	20150130	1
mmViewProblem	Dev7	16272: ChildStuntedness4	20150127	9
mmViewProblem	DevSusu	16298: ABCSpeedup	20150116	1
mmViewProblem	DeviLily	16275: ActiveMolecules	20150108	1
mmViewProblem	Dextor	16275: ActiveMolecules	20150209	1
mmViewProblem	Diddi	16298: ABCSpeedup	20150204	1
